Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,Payment Date,,Amount Paid
RESO - Resources,AAF - Finance,October Land Registry Fee,,,37,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,38,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,39,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,40,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,41,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,42,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,43,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,44,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,45,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,46,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,47,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,48,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,49,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,50,,CRINV0006044,HM Land Registry,,06/11/2024,,20.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,51,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,52,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,53,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,54,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,55,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,56,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,57,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,58,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,59,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,60,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,61,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,62,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,63,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,64,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,65,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,66,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,67,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,68,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,69,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,70,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,71,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,72,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,73,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,74,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,75,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,76,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,77,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,78,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,79,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,80,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,81,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,82,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,83,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,84,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,85,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,86,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,87,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,88,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,89,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
