Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,Payment Date,,Amount Paid
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,15,,CRINV0006330,HSL Compliance,,26/11/2024,,37.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,16,,CRINV0006330,HSL Compliance,,26/11/2024,,37.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,17,,CRINV0006330,HSL Compliance,,26/11/2024,,39.60
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,18,,CRINV0006330,HSL Compliance,,26/11/2024,,33.60
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,19,,CRINV0006330,HSL Compliance,,26/11/2024,,37.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,20,,CRINV0006330,HSL Compliance,,26/11/2024,,37.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,21,,CRINV0006330,HSL Compliance,,26/11/2024,,46.80
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,22,,CRINV0006330,HSL Compliance,,26/11/2024,,76.80
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,23,,CRINV0006330,HSL Compliance,,26/11/2024,,50.40
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,24,,CRINV0006330,HSL Compliance,,26/11/2024,,45.60
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,25,,CRINV0006330,HSL Compliance,,26/11/2024,,37.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring October 2024,,,26,,CRINV0006330,HSL Compliance,,26/11/2024,,37.20
PLAN - Planning & Transportation,EAC - Green Infrastructure,Lottice Brook Greenway Bathometric Surveys,,,1,,CRINV0006388,Site Surveying Services Limited,,26/11/2024,,"5,820.00"
ENVS - Environmental Services,CAF - CVMU,Tyre repairs &Call outs,,,1,,CRINV0006430,Rossendale Vulcanising (Sales Ltd),,26/11/2024,,"3,510.00"
LEGL - Legal & Democratic,DAB - Human Resources,Accreditation Fees,,,1,,CRINV0006435,White Ribbon Uk,,26/11/2024,,396.00
PLAN - Planning & Transportation,EAC - Green Infrastructure,Woodland consultancy,,,1,,CRINV0006455,Footprint Forestry,,26/11/2024,,"1,595.55"
PLAN - Planning & Transportation,EAC - Green Infrastructure,Woodland consultancy,,,2,,CRINV0006455,Footprint Forestry,,26/11/2024,,664.37
REGN - Regeneration & Housing,FAB - Facilities,Callouts - Oct 24,,,1,,CRINV0006463,Keyplus Security Ltd,,26/11/2024,,394.68
REGN - Regeneration & Housing,FAB - Facilities,Call out - Oct 24,,,2,,CRINV0006463,Keyplus Security Ltd,,26/11/2024,,170.50
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Call outs,,,3,,CRINV0006463,Keyplus Security Ltd,,26/11/2024,,852.48
REGN - Regeneration & Housing,FAB - Facilities,Call out - Oct 24,,,4,,CRINV0006463,Keyplus Security Ltd,,26/11/2024,,85.26
REGN - Regeneration & Housing,FAB - Facilities,Call out - Oct 24,,,5,,CRINV0006463,Keyplus Security Ltd,,26/11/2024,,85.26
REGN - Regeneration & Housing,FAB - Facilities,Call out - Oct 24,,,6,,CRINV0006463,Keyplus Security Ltd,,26/11/2024,,42.65
REGN - Regeneration & Housing,FAB - Facilities,Call outs - Oct 24,,,7,,CRINV0006463,Keyplus Security Ltd,,26/11/2024,,106.57
REGN - Regeneration & Housing,FAB - Facilities,Key holding charges - Oct 24,,,8,,CRINV0006463,Keyplus Security Ltd,,26/11/2024,,29.82
REGN - Regeneration & Housing,FAB - Facilities,Key holding charges - Oct 24,,,9,,CRINV0006463,Keyplus Security Ltd,,26/11/2024,,29.82
RESO - Resources,AAB - Benefits & Customer Contact,Temp staff w/e 10.11.24,,,1,,CRINV0006476,Eden Brown Limited,,26/11/2024,,"1,212.12"
REGN - Regeneration & Housing,FAB - Facilities,Air conditioning works Scaitcliffe House,,,1,,CRINV0006485,Affordable Bar & Catering Equipment Direct,,26/11/2024,,"78,433.20"
REGN - Regeneration & Housing,FAD - Housing Advice,Housing staff. 13.10.24 R.S. Standard rate and expenses,,,1,,CRINV0006516,Vivid Resourcing,,26/11/2024,,"1,720.22"
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 02.11.23 - 31.05.24 Viaduct,,,1,,CRINV0006517,SSE - 8700217449 Amenity Lighting Unmetered Supply,,26/11/2024,,"1,240.55"
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting. 02.11.23 - 31.05.24,,,2,,CRINV0006517,SSE - 8700217449 Amenity Lighting Unmetered Supply,,26/11/2024,,42.05
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 02.11.23-31.05.24 Bus shelters,,,3,,CRINV0006517,SSE - 8700217449 Amenity Lighting Unmetered Supply,,26/11/2024,,455.57
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 02.11.23 - 31.05.24 Car parks,,,4,,CRINV0006517,SSE - 8700217449 Amenity Lighting Unmetered Supply,,26/11/2024,,981.22
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 02.11.23 - 31.05.24 CCTV,,,5,,CRINV0006517,SSE - 8700217449 Amenity Lighting Unmetered Supply,,26/11/2024,,84.11
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 02.11.23 - 31.05.24 Clocks,,,6,,CRINV0006517,SSE - 8700217449 Amenity Lighting Unmetered Supply,,26/11/2024,,127.00
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 02.11.23 - 31.05.24 Viaduct,,,7,,CRINV0006517,SSE - 8700217449 Amenity Lighting Unmetered Supply,,26/11/2024,,"3,746.52"
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 02.11.23 - 31.05.24 Bush shelters,,,8,,CRINV0006517,SSE - 8700217449 Amenity Lighting Unmetered Supply,,26/11/2024,,"1,375.84"
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 02.11.23-31.05.24 Car parks,,,9,,CRINV0006517,SSE - 8700217449 Amenity Lighting Unmetered Supply,,26/11/2024,,"2,963.34"
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 02.11.23-31.05.24 CCTV,,,10,,CRINV0006517,SSE - 8700217449 Amenity Lighting Unmetered Supply,,26/11/2024,,254.00
REGN - Regeneration & Housing,FAB - Facilities,"Site 1 02/09/2024 - 18/10/2024 Haworth
  Park",,,1,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"1,094.91"
REGN - Regeneration & Housing,FAB - Facilities,"Site 1 19/10/2024 -
  22/10/2024 Haworth Park",,,2,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,757.21
REGN - Regeneration & Housing,FAB - Facilities,"Site 2 02/09/2024 -
  18/10/2024 Crematorium Burnley Road",,,3,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"3,043.46"
REGN - Regeneration & Housing,FAB - Facilities,"Site 2 19/10/2024 -
  01/11/2024 Crematorium Burnley Road",,,4,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,984.63
REGN - Regeneration & Housing,FAB - Facilities,"Site 3 01/09/2024 -
  18/10/2024 Service Building Great Harwood Ceme",,,5,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,260.54
REGN - Regeneration & Housing,FAB - Facilities,"Site 4 01/09/2024 -
  18/10/2024 Memorial Park Church Lane",,,6,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,414.26
REGN - Regeneration & Housing,FAB - Facilities,"Site 4 19/10/2024 -
  31/10/2024 Memorial Park Church Lane",,,7,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,124.94
REGN - Regeneration & Housing,FAB - Facilities,"Site 5 01/10/2024 -
  31/10/2024 Foxhill Bank Pavillion",,,8,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,867.27
REGN - Regeneration & Housing,FAB - Facilities,"Site 6 01/09/2024 -
  18/10/2024 Free Gardeners Bowling Green",,,9,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,41.62
REGN - Regeneration & Housing,FAB - Facilities,"01/10/2024 -
  31/10/2024 HYNDBURN LEISURE CENTRE",,,10,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"62,940.87"
REGN - Regeneration & Housing,FAB - Facilities,"Site 7 01/10/2024 -
  31/10/2024 Peel Park Bowling Kiosk",,,11,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,56.85
REGN - Regeneration & Housing,FAB - Facilities,"Site 8 01/09/2024 -
  18/10/2024 Feeder Pillar Rear of Accrington To",,,12,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,83.98
REGN - Regeneration & Housing,FAB - Facilities,"Site 8 19/10/2024 -
  31/10/2024 Feeder Pillar Rear of Accrington To",,,13,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,25.14
REGN - Regeneration & Housing,FAB - Facilities,"Site 9 01/10/2024 -
  31/10/2024 Bowls House Rhyddings Park",,,14,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,47.45
REGN - Regeneration & Housing,FAB - Facilities,"Site 12 02/09/2024 -
  18/10/2024 Mess Room Memorial Park",,,15,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,23.26
REGN - Regeneration & Housing,FAB - Facilities,"Site 12 19/10/2024 -
  01/11/2024 Mess Room Memorial Park",,,16,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,6.93
REGN - Regeneration & Housing,FAB - Facilities,"Site 13 02/09/2024 -
  18/10/2024 Elmfield Hall Flats - Communal Ligh",,,17,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,73.99
REGN - Regeneration & Housing,FAB - Facilities,"Site 13 19/10/2024 -
  01/11/2024 Elmfield Hall Flats - Communal Ligh",,,18,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,23.57
REGN - Regeneration & Housing,FAB - Facilities,"Site 14 02/09/2024 -
  18/10/2024 Bandstand Oakhill Park",,,19,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,56.33
REGN - Regeneration & Housing,FAB - Facilities,"Site 14 19/10/2024 -
  01/11/2024 Bandstand Oakhill Park",,,20,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,17.68
REGN - Regeneration & Housing,FAB - Facilities,"Site 16 01/10/2024 -
  31/10/2024 Floodlighting Mercer House",,,21,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,29.15
REGN - Regeneration & Housing,FAB - Facilities,"Site 17 02/10/2024 -
  01/11/2024 Oakhill Park Centre",,,22,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,278.13
REGN - Regeneration & Housing,FAB - Facilities,"Site 19 02/10/2024 -
  01/11/2024 Wilsons Playing Fields",,,23,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"1,214.17"
REGN - Regeneration & Housing,FAB - Facilities,"Site 20 02/09/2024 -
  18/10/2024 Dill Hall Cemetry",,,24,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,40.18
REGN - Regeneration & Housing,FAB - Facilities,"Site 20 19/10/2024 -
  01/11/2024 Dill Hall Cemetry",,,25,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,12.14
REGN - Regeneration & Housing,FAB - Facilities,"01/10/2024 -
  31/10/2024 Hyndburn Sports Centre",,,26,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,0.85
REGN - Regeneration & Housing,FAB - Facilities,"Site 21 02/09/2024 -
  18/10/2024 Haworth Art Gallery",,,27,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"1,902.20"
REGN - Regeneration & Housing,FAB - Facilities,"Site 21 19/10/2024 -
  22/10/2024 Haworth Art Gallery",,,28,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,235.26
REGN - Regeneration & Housing,FAB - Facilities,"Site 22 02/09/2024 -
  18/10/2024 Wilson Playing Fields",,,29,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"3,866.24"
REGN - Regeneration & Housing,FAB - Facilities,"Site 22 19/10/2024 -
  01/11/2024 Wilson Playing Fields",,,30,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"1,251.66"
REGN - Regeneration & Housing,FAB - Facilities,"Site 23 01/10/2024 -
  31/10/2024 Gatty Park Greenhouse Site",,,31,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,39.91
REGN - Regeneration & Housing,FAB - Facilities,"Site 24 01/10/2024 -
  01/11/2024 Willows Lane Depot",,,32,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"3,385.40"
REGN - Regeneration & Housing,FAB - Facilities,"02/10/2024 -
  01/11/2024 RANGER STREET DEPOT",,,33,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,209.84
REGN - Regeneration & Housing,FAB - Facilities,"Site 25 02/09/2024 -
  30/09/2024 Wall of Rememberence Burnley Rd",,,34,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,22.77
REGN - Regeneration & Housing,FAB - Facilities,"Site 25 01/10/2024 -
  01/11/2024 Wall of Rememberence Burnley Rd",,,35,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,25.43
REGN - Regeneration & Housing,FAB - Facilities,"Site 26 01/10/2024 -
  31/10/2024 Bowl Houses Milnshaw Park",,,36,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,57.32
REGN - Regeneration & Housing,FAB - Facilities,"Site 27 02/10/2024 -
  01/11/2024 The Stable & Motor House",,,37,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,592.31
REGN - Regeneration & Housing,FAB - Facilities,"Site 28 02/08/2024 -
  01/09/2024 Cemetery Office Burnley Rd",,,38,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,737.94-
REGN - Regeneration & Housing,FAB - Facilities,"Site 28 02/08/2024 -
  01/09/2024 Cemetery Office Burnley Rd",,,39,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,107.03
REGN - Regeneration & Housing,FAB - Facilities,"Site 28 02/09/2024 -
  18/10/2024 Cemetery Office Burnley Rd",,,40,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"1,209.63"
REGN - Regeneration & Housing,FAB - Facilities,"Site 28 02/09/2024 -
  18/10/2024 Cemetery Office Burnley Rd",,,41,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"1,209.63-"
REGN - Regeneration & Housing,FAB - Facilities,"Site 28 02/09/2024 -
  18/10/2024 Cemetery Office Burnley Rd",,,42,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,162.21
REGN - Regeneration & Housing,FAB - Facilities,"Site 28 19/10/2024 -
  01/11/2024 Cemetery Office Burnley Rd",,,43,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,225.50
REGN - Regeneration & Housing,FAB - Facilities,"Site 29 02/10/2024 -
  01/11/2024 South Service Yard Accrington Marke",,,44,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,81.90
REGN - Regeneration & Housing,FAB - Facilities,"Site 30 01/09/2024 -
  18/10/2024 Park Pavilion Lowerfold Road",,,45,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,108.51
REGN - Regeneration & Housing,FAB - Facilities,"Site 30 19/10/2024 -
  31/10/2024 Park Pavilion Lowerfold Road",,,46,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,20.51
REGN - Regeneration & Housing,FAB - Facilities,"Site 31 02/09/2024 -
  18/10/2024 Street Lighting Feeder Pillar Clock",,,47,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,71.80
REGN - Regeneration & Housing,FAB - Facilities,"Site 31 19/10/2024 -
  01/11/2024 Street Lighting Feeder Pillar Clock",,,48,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,22.68
REGN - Regeneration & Housing,FAB - Facilities,Late payment Interest Charges,,,49,,CRINV0006524,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,662.70
PLAN - Planning & Transportation,EAC - Green Infrastructure,Butterfly Bank Peel Park Works,,,1,,CRINV0006528,G Lyell Landscaping & Excavations,,26/11/2024,,"2,928.00"
ENVS - Environmental Services,CAF - CVMU,Mower service - Labour,,,1,,CRINV0006536,Rob Mercer,,26/11/2024,,213.07
ENVS - Environmental Services,CAF - CVMU,Mower service - Materials,,,2,,CRINV0006536,Rob Mercer,,26/11/2024,,341.55
PLAN - Planning & Transportation,EAC - Green Infrastructure,Container grown trees,,,1,,CRINV0006541,Boningdale Limited,,26/11/2024,,"1,495.20"
ENVS - Environmental Services,CAE - Waste Services,Charges - Aug/Sept 24,,,1,,CRINV0006555,Suez Recycling And Recovery Uk Ltd,,26/11/2024,,"3,455.71"
ENVS - Environmental Services,CAE - Waste Services,Charges - Aug/Sept 24,,,2,,CRINV0006555,Suez Recycling And Recovery Uk Ltd,,26/11/2024,,"13,456.96"
REGN - Regeneration & Housing,FAB - Facilities,Installation of new cabling to the main roller shutter door,,,1,,CRPOI0006001,Full Circuit Fire & Security Ltd,,26/11/2024,,268.44
REGN - Regeneration & Housing,FAB - Facilities,Installation of new two loop fire panel and repeater panel ,,,1,,CRPOI0006069,Full Circuit Fire & Security Ltd,,26/11/2024,,"3,995.46"
ENVS - Environmental Services,CAC - Parks & Cemeteries,300 X Red Mini Cyclamen in 9`` pots ,,,1,,CRPOI0006111,E N Coxhead Limited,,26/11/2024,,300.00
LEGL - Legal & Democratic,DAA - Democratic Services,Remembrance Day service booklets A5 Printed ,,,1,,CRPOI0006116,The Small Sign Company,,26/11/2024,,786.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,5 X Sartra wooden hay rake ,,,1,,CRPOI0006117,Landscape Supply Company,,26/11/2024,,232.50
ENVS - Environmental Services,CAC - Parks & Cemeteries,5 X Hypro Aluminium snow scoop,,,2,,CRPOI0006117,Landscape Supply Company,,26/11/2024,,212.70
REGN - Regeneration & Housing,FAB - Facilities,RJ Lifts callouts - October 2024,,,1,,CRPOI0006136,R J Lift Services Ltd,,26/11/2024,,342.00
ENVS - Environmental Services,CAB - Other Environmental Services,6 X Triscan Kisskey OBD 4m Fitting Kits and Engineer Installation,,,1,,CRPOI0006278,Triscan Systems Limited,,26/11/2024,,640.84
ENVS - Environmental Services,CAB - Other Environmental Services,6 X Triscan Kisskey OBD 4m Fitting Kits and Engineer Installation,,,2,,CRPOI0006278,Triscan Systems Limited,,26/11/2024,,961.26
ENVS - Environmental Services,CAB - Other Environmental Services,6 X Triscan Kisskey OBD 4m Fitting Kits and Engineer Installation,,,3,,CRPOI0006278,Triscan Systems Limited,,26/11/2024,,320.42
ENVS - Environmental Services,CAC - Parks & Cemeteries,20 - Driver Record Books,,,1,,CRPOI0006282,Ellison Printing Co.,,26/11/2024,,338.40
RESO - Resources,AAD - ICT,160  x VM ware vsPhere Foundation 8 ,,,1,,CRPOI0006336,Bytes Software Services Ltd,,26/11/2024,,"27,158.40"
RESO - Resources,AAD - ICT,"1 X Hytera BD615 UHF Quad Bundle Pack 
1 x Ofcom UK Licence (5 year) at £75.00
1 x delivery at £150.00",,,1,,CRPOI0006360,Roadphone NRB,,26/11/2024,,780.77
REGN - Regeneration & Housing,FAB - Facilities,RedCARE Phase Out / BT Line Replacement - Replacement signalling device - Willows Lane,,,1,,CRPOI0006434,Full Circuit Fire & Security Ltd,,26/11/2024,,418.32
REGN - Regeneration & Housing,FAB - Facilities,RedCARE Phase Out / BT Line Replacement - Replacement signalling device - Accrington Town Hall,,,1,,CRPOI0006438,Full Circuit Fire & Security Ltd,,26/11/2024,,504.72
REGN - Regeneration & Housing,FAB - Facilities,RedCARE Phase Out / BT Line Replacement - Replacement signalling device - Cannon Street,,,1,,CRPOI0006439,Full Circuit Fire & Security Ltd,,26/11/2024,,418.32
REGN - Regeneration & Housing,FAB - Facilities,RedCARE Phase Out / BT Line Replacement - Replacement signalling device - Accrington Crematorium,,,1,,CRPOI0006440,Full Circuit Fire & Security Ltd,,26/11/2024,,418.32
REGN - Regeneration & Housing,FAB - Facilities,Accrington Market Hall - gas meter collection and removal from national database,,,1,,CRPOI0006465,Briar Consulting Engineers Ltd,,26/11/2024,,"1,314.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,2 X Safe use of a woodchipper ,,,1,,CRPOI0006470,Myerscough College,,26/11/2024,,500.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Climbing and aerial rescue course ,,,1,,CRPOI0006473,Myerscough College,,26/11/2024,,725.00
REGN - Regeneration & Housing,FAB - Facilities,Period: 22.1.24 to 6.8.24,,,1,,CRINV0004616,"SSE - 8700214041 Mercer House, Mercer Park",,28/11/2024,,375.12
REGN - Regeneration & Housing,FAB - Facilities,Planned Maintenance of Air Conditioning,,,1,,CRINV0006134,Airco,,28/11/2024,,"3,850.08"
ENVS - Environmental Services,CAE - Waste Services,Vehicle Hire - 4.11.24,,,1,,CRINV0006261,Stanley Brothers (Tippers) Ltd,,28/11/2024,,648.00
ENVS - Environmental Services,CAF - CVMU,Materials,,,1,,CRINV0006326,Pirtek Preston 2004 Ltd,,28/11/2024,,304.27
ENVS - Environmental Services,CAF - CVMU,Refuse Vehicle Steam Cleaning,,,1,,CRINV0006494,Keep Em Clean,,28/11/2024,,262.50
RESO - Resources,AAF - Finance,LCC CTax precept Nov 24,,,1,,CRINV0006518,Lancashire County Council (Direct Debit Payments),,28/11/2024,,"3,652,944.00"
RESO - Resources,AAF - Finance,LCC Ctax Deficit 23/24,,,2,,CRINV0006518,Lancashire County Council (Direct Debit Payments),,28/11/2024,,"106,396.00-"
RESO - Resources,AAF - Finance,LCC NDR Precept Nov 24,,,3,,CRINV0006518,Lancashire County Council (Direct Debit Payments),,28/11/2024,,"211,187.00"
RESO - Resources,AAF - Finance,LCC NDR Surplus 23/24,,,4,,CRINV0006518,Lancashire County Council (Direct Debit Payments),,28/11/2024,,"15,923.00"
RESO - Resources,AAF - Finance,Fire Ctax Precept Nov 24,,,5,,CRINV0006518,Lancashire County Council (Direct Debit Payments),,28/11/2024,,"187,211.00"
RESO - Resources,AAF - Finance,Fire Ctax Deficit 23/24,,,6,,CRINV0006518,Lancashire County Council (Direct Debit Payments),,28/11/2024,,"5,559.00-"
RESO - Resources,AAF - Finance,Fire NDR Precept nov 24,,,7,,CRINV0006518,Lancashire County Council (Direct Debit Payments),,28/11/2024,,"23,465.00"
RESO - Resources,AAF - Finance,Fire NNDR Surplus 23/24,,,8,,CRINV0006518,Lancashire County Council (Direct Debit Payments),,28/11/2024,,"1,769.00"
RESO - Resources,AAF - Finance,Police Ctax Precept Nov 24,,,9,,CRINV0006518,Lancashire County Council (Direct Debit Payments),,28/11/2024,,"581,982.00"
RESO - Resources,AAF - Finance,Police Ctax Deficit 23/24,,,10,,CRINV0006518,Lancashire County Council (Direct Debit Payments),,28/11/2024,,"16,989.00-"
PLAN - Planning & Transportation,EAA - Building Control,Staff we 15.11.24 R.T.,,,1,,CRINV0006519,Deekay Tech Recruitment Ltd,,28/11/2024,,"1,366.74"
RESO - Resources,AAF - Finance,Charges - Oct 24,,,1,,CRINV0006525,Lloyds Bank Cardnet,,28/11/2024,,"2,128.71"
RESO - Resources,AAG - Management Resources,LS Consultancy  Jul to Sep 24,,,1,,CRINV0006587,Hyndburn Leisure,,28/11/2024,,"8,844.00"
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 01.12.23 - 30.06.24,,,1,,CRINV0006588,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,42.97
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 01.12.23 - 30.06.24 Viaduct,,,2,,CRINV0006588,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,"1,267.51"
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 01.12.23 - 30.06.24 Bus shelters,,,3,,CRINV0006588,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,465.47
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 01.12.23 - 30.06.24,,,4,,CRINV0006588,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,"1,002.55"
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 01.12.23 - 30.06.24,,,5,,CRINV0006588,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,85.93
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 01.12.23 - 30.06.24 Clocks,,,6,,CRINV0006588,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,129.80
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 01.12.23 - 30.06.24 Viaduct,,,7,,CRINV0006588,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,"3,829.19"
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 01.12.23 - 30.06.24 Bus shelters,,,8,,CRINV0006588,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,"1,406.20"
REGN - Regeneration & Housing,FAB - Facilities,amenity lighting 01.12.23 - 30.06.24 Car parks,,,9,,CRINV0006588,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,"3,028.74"
REGN - Regeneration & Housing,FAB - Facilities,Amenity lighting 01.12.23 - 30.06.24 CCTV,,,10,,CRINV0006588,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,259.60
ENVS - Environmental Services,CAD - Town Centre & Markets,Monitoring & Mtce of cctv cameras,,,1,,CRINV0006589,Blackburn With Darwen Borough Council,,28/11/2024,,"119,237.40"
REGN - Regeneration & Housing,FAB - Facilities,Amenity Lighting - 1.1.24 - 31.7.24,,,1,,CRINV0006591,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,43.60
REGN - Regeneration & Housing,FAB - Facilities,Amenity Lighting - 1.1.24 to 31.7.24,,,2,,CRINV0006591,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,"1,286.18"
REGN - Regeneration & Housing,FAB - Facilities,Amenity Lighting - 1.1.24 to 31.7.24,,,3,,CRINV0006591,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,472.32
REGN - Regeneration & Housing,FAB - Facilities,Amenity Lighting - 1.1.24 to 31.7.24,,,4,,CRINV0006591,SSE - 8700217449 Amenity Lighting Unmetered Supply,,28/11/2024,,"1,017.31"
