Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,,Payment Date,,Amount Paid
REGN - Regeneration & Housing,FAF - Strategic Housing,Roof Repairs ,,,1,,CRINV0006944,Allforone& Oneforall,,,19/12/2024,,380.00
RESO - Resources,AAF - Finance,Lease Rental Bucher Sweepers,,,1,,CRINV0006950,Jcb Finance Ltd,,,19/12/2024,,"83,737.80"
RESO - Resources,AAF - Finance,Lease Rental Bucher Sweepers,,,2,,CRINV0006950,Jcb Finance Ltd,,,19/12/2024,,"5,582.72"
RESO - Resources,AAB - Benefits & Customer Contact,Professional fees,,,1,,CRINV0006959,Greenhalgh Kerr,,,19/12/2024,,"2,932.00"
RESO - Resources,AAB - Benefits & Customer Contact,Unpaid vat disbursements,,,2,,CRINV0006959,Greenhalgh Kerr,,,19/12/2024,,114.00
RESO - Resources,AAB - Benefits & Customer Contact,Professional fees,,,1,,CRINV0006962,Greenhalgh Kerr,,,19/12/2024,,"7,316.40"
PLAN - Planning & Transportation,EAD - Planning,Staff planning.  w/e 08.12.24,,,1,,CRINV0006965,Macdonald & Company,,,19/12/2024,,"1,676.90"
PLAN - Planning & Transportation,EAD - Planning,Planning app refund,,,1,,CRINV0006968,Portal Plan Quest Ltd,,,19/12/2024,,289.00
PLAN - Planning & Transportation,EAC - Green Infrastructure,Plants,,,1,,CRINV0006974,Boningdale Limited,,,19/12/2024,,"1,402.52"
ENVS - Environmental Services,CAB - Other Environmental Services,Charges,,,1,,CRINV0006984,Aspen Valley Boarding Kennels & Cattery,,,19/12/2024,,"2,598.13"
ENVS - Environmental Services,CAF - CVMU,CVMU Parts/Goods,,,1,,CRINV0006985,Mrb Workshop Services,,,19/12/2024,,525.30
ENVS - Environmental Services,CAB - Other Environmental Services,Vehicle Hire  05/12/24,,,1,,CRINV0006990,Stanley Brothers (Tippers) Ltd,,,19/12/2024,,648.00
ENVS - Environmental Services,CAF - CVMU,Training - 2/3 December,,,1,,CRINV0006992,Specialist Training Consultancy Ltd,,,19/12/2024,,"1,080.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Agency staff - w/c 25/11/24,,,1,,CRINV0006996,Proman Supply Chain Ltd,,,19/12/2024,,657.72
PLAN - Planning & Transportation,EAA - Building Control,w/e 29/11 temp staff,,,1,,CRINV0007021,Confido Consult Ltd,,,19/12/2024,,"2,378.16"
ENVS - Environmental Services,CAF - CVMU,vehicle hire,,,1,,CRINV0007025,Leeds Commercial Vehicle Hire,,,19/12/2024,,"1,940.40"
REGN - Regeneration & Housing,FAF - Strategic Housing,Navigator Service 01/04/22 - 31/03/25,,,1,,CRINV0007055,Maundy Relief,,,19/12/2024,,"15,500.00"
REGN - Regeneration & Housing,FAB - Facilities,Gas various sites 29.10.24 - 30.11.24 Bullough Park,,,1,,CRINV0007058,"SEFE Energy - 10174064 Mercer Park, CLM",,,19/12/2024,,13.15
REGN - Regeneration & Housing,FAB - Facilities,Gas various sites 29.10.24 - 30.11.24 Lowerfold,,,2,,CRINV0007058,"SEFE Energy - 10174064 Mercer Park, CLM",,,19/12/2024,,26.29
REGN - Regeneration & Housing,FAB - Facilities,Gas various sites 29.10.24 - 30.11.24 Willows Lane,,,3,,CRINV0007058,"SEFE Energy - 10174064 Mercer Park, CLM",,,19/12/2024,,782.10
REGN - Regeneration & Housing,FAB - Facilities,Gas various 29.10.24 - 30.11.24 Acc Town Hall,,,4,,CRINV0007058,"SEFE Energy - 10174064 Mercer Park, CLM",,,19/12/2024,,"3,635.56"
REGN - Regeneration & Housing,FAB - Facilities,Gas variouse Nov 24 Cannon St,,,5,,CRINV0007058,"SEFE Energy - 10174064 Mercer Park, CLM",,,19/12/2024,,35.87
REGN - Regeneration & Housing,FAB - Facilities,Gas variouse Nov 24 Mercer Hall,,,6,,CRINV0007058,"SEFE Energy - 10174064 Mercer Park, CLM",,,19/12/2024,,"1,897.87"
REGN - Regeneration & Housing,FAB - Facilities,Gas various Nov 24 Acc Crem,,,7,,CRINV0007058,"SEFE Energy - 10174064 Mercer Park, CLM",,,19/12/2024,,765.81
REGN - Regeneration & Housing,FAB - Facilities,Gas various Nov 24 Acc Crem,,,8,,CRINV0007058,"SEFE Energy - 10174064 Mercer Park, CLM",,,19/12/2024,,"6,019.75"
REGN - Regeneration & Housing,FAB - Facilities,Gas variouse Nov 24 Acc Cem Mess,,,9,,CRINV0007058,"SEFE Energy - 10174064 Mercer Park, CLM",,,19/12/2024,,89.35
REGN - Regeneration & Housing,FAB - Facilities,Gas various Haworth Art Nov 24,,,10,,CRINV0007058,"SEFE Energy - 10174064 Mercer Park, CLM",,,19/12/2024,,"2,397.89"
REGN - Regeneration & Housing,FAB - Facilities,Gas variouse Nov 24 Eagle St OAP,,,11,,CRINV0007058,"SEFE Energy - 10174064 Mercer Park, CLM",,,19/12/2024,,8.69
REGN - Regeneration & Housing,FAB - Facilities,Gas variouse Nov 24 Wilsons,,,12,,CRINV0007058,"SEFE Energy - 10174064 Mercer Park, CLM",,,19/12/2024,,373.60
REGN - Regeneration & Housing,FAB - Facilities,Gas variouse Nov 24 Oakhill Park,,,13,,CRINV0007058,"SEFE Energy - 10174064 Mercer Park, CLM",,,19/12/2024,,83.57
REGN - Regeneration & Housing,FAB - Facilities,Gas various Nov 24 Willows Lane,,,14,,CRINV0007058,"SEFE Energy - 10174064 Mercer Park, CLM",,,19/12/2024,,508.23
REGN - Regeneration & Housing,FAB - Facilities,Gas various Nov 24 CVMU,,,15,,CRINV0007058,"SEFE Energy - 10174064 Mercer Park, CLM",,,19/12/2024,,"2,936.02"
REGN - Regeneration & Housing,FAB - Facilities,Gas variouse Nov 24 Haworth Stables,,,16,,CRINV0007058,"SEFE Energy - 10174064 Mercer Park, CLM",,,19/12/2024,,"1,078.10"
REGN - Regeneration & Housing,FAB - Facilities,Gas various Nov 24 Rhyddings Park,,,17,,CRINV0007058,"SEFE Energy - 10174064 Mercer Park, CLM",,,19/12/2024,,490.85
REGN - Regeneration & Housing,FAB - Facilities,Gas various Nov 24 Market Hall,,,18,,CRINV0007058,"SEFE Energy - 10174064 Mercer Park, CLM",,,19/12/2024,,"4,738.19"
ENVS - Environmental Services,CAA - Environmental Maintenance,electricity,,,1,,CRINV0007077,E.On Next Energy - A-54DE8BBA,,,19/12/2024,,559.00
REGN - Regeneration & Housing,FAF - Strategic Housing,ABEN Service - 1.4.24-30.9.24,,,1,,CRINV0007078,Stepping Stone Project,,,19/12/2024,,"10,000.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,RSAP - 1.10.24-31.3.25,,,1,,CRINV0007079,Stepping Stone Project,,,19/12/2024,,"25,000.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,RSAP - Phase 2 - 1.10.24-31.3.25,,,1,,CRINV0007080,Stepping Stone Project,,,19/12/2024,,"12,500.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,RSAP Phase 2- 1.4.24-30.9.24,,,1,,CRINV0007081,Stepping Stone Project,,,19/12/2024,,"12,500.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,RSAP Phase 1 - 1.4.24-30.9.24,,,1,,CRINV0007082,Stepping Stone Project,,,19/12/2024,,"25,000.00"
ENVS - Environmental Services,CAB - Other Environmental Services,water,,,1,,CRINV0007090,Water Plus - 4082169237 Towns Yard & Plumber,,,19/12/2024,,909.98
RESO - Resources,AAF - Finance,Charges - 1.11.24-30.11.24,,,1,,CRINV0007098,Lloyds Bank Cardnet,,,19/12/2024,,"2,043.21"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Grant for play area at Rhyddings Park,,,1,,CRINV0007113,Lancashire Environmental Fund,,,19/12/2024,,"3,300.00"
REGN - Regeneration & Housing,FAB - Facilities,Alarm Response - 01/11 - Willows Lane Stores,,,1,,CRINV0007123,Keyplus Security Ltd,,,19/12/2024,,394.70
REGN - Regeneration & Housing,FAB - Facilities,Alarm Response - 15/11 - Brian Walmsley Pavilion,,,1,,CRINV0007127,Keyplus Security Ltd,,,19/12/2024,,362.32
REGN - Regeneration & Housing,FAB - Facilities,Alarm Response - 29/11 - Willows Lane Depot,,,1,,CRINV0007135,Keyplus Security Ltd,,,19/12/2024,,255.75
PLAN - Planning & Transportation,EAD - Planning,Temp staff w/e 01/12/24,,,1,,CRINV0007146,Macdonald & Company,,,19/12/2024,,854.86
PLAN - Planning & Transportation,EAD - Planning,Temp staff w/e 01/12/24,,,2,,CRINV0007146,Macdonald & Company,,,19/12/2024,,854.84
ENVS - Environmental Services,CAA - Environmental Maintenance,Provision of legal services,,,1,,CRINV0007156,Womble Bond Dickinson (Uk) LLP,,,19/12/2024,,"2,829.00"
LEGL - Legal & Democratic,DAK - Community Safety,Membership for 2024-2025,,,1,,CRINV0007159,Lanpac Ltd,,,19/12/2024,,300.00
ENVS - Environmental Services,CAA - Environmental Maintenance,December 2024 fees,,,1,,CRINV0007166,Ma Cost Consulting Limited,,,19/12/2024,,"4,570.01"
ENVS - Environmental Services,CAA - Environmental Maintenance,December 2024 fees,,,2,,CRINV0007166,Ma Cost Consulting Limited,,,19/12/2024,,"4,570.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,December 2024 fees,,,3,,CRINV0007166,Ma Cost Consulting Limited,,,19/12/2024,,"4,569.99"
RESO - Resources,AAB - Benefits & Customer Contact,Agency staff - w/e 08.12.24,,,1,,CRINV0007191,Eden Brown Limited,,,19/12/2024,,"1,212.12"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 15/12/24 ,,,1,,CRINV0007203,Macdonald & Company,,,19/12/2024,,735.95
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 15/12/24,,,2,,CRINV0007203,Macdonald & Company,,,19/12/2024,,735.95
ENVS - Environmental Services,CAF - CVMU,Parts,,,1,,CRINV0007225,Rob Mercer,,,19/12/2024,,343.85
ENVS - Environmental Services,CAF - CVMU,Labour,,,2,,CRINV0007225,Rob Mercer,,,19/12/2024,,75.00
ENVS - Environmental Services,CAA - Environmental Maintenance,Legal Services,,,1,,CRINV0007226,Womble Bond Dickinson (Uk) LLP,,,19/12/2024,,"29,143.92"
ENVS - Environmental Services,CAA - Environmental Maintenance,Legal Services,,,2,,CRINV0007226,Womble Bond Dickinson (Uk) LLP,,,19/12/2024,,"5,200.00"
PLAN - Planning & Transportation,EAA - Building Control,Agency Staff w/e 13/12/24,,,1,,CRINV0007236,Deekay Tech Recruitment Ltd,,,19/12/2024,,"1,366.20"
ENVS - Environmental Services,CAF - CVMU,Callouts - Various,,,1,,CRINV0007241,Rossendale Vulcanising (Sales Ltd),,,19/12/2024,,"4,959.60"
REGN - Regeneration & Housing,FAB - Facilities,Upgrade to intruder alarm ,,,1,,CRPOI0006649,Full Circuit Fire & Security Ltd,,,19/12/2024,,624.82
RESO - Resources,AAB - Benefits & Customer Contact,Forum Subscription 2025,,,1,,CRPOI0006694,IRRV,,,19/12/2024,,544.01
RESO - Resources,AAB - Benefits & Customer Contact,Forum Subscription 2025,,,2,,CRPOI0006694,IRRV,,,19/12/2024,,543.99
RESO - Resources,AAB - Benefits & Customer Contact,Forum Subscription 2025,,,3,,CRPOI0006694,IRRV,,,19/12/2024,,544.00
ENVS - Environmental Services,CAB - Other Environmental Services,"JCB loadall - variable reach telescopic, up to 9 metre lift training for three people.",,,1,,CRPOI0006734,Linde Mh Uk Limited,,,19/12/2024,,"2,700.00"
REGN - Regeneration & Housing,FAB - Facilities,Annual - Surge Protection Test ,,,1,,CRPOI0006744,Premier Technical Services Group,,,19/12/2024,,290.40
ENVS - Environmental Services,CAE - Waste Services,400 litre capacity grit/salt container in Yellow,,,1,,CRPOI0006788,Glasdon Uk Ltd,,,19/12/2024,,319.48
ENVS - Environmental Services,CAE - Waste Services,The Dispensa Spreader,,,2,,CRPOI0006788,Glasdon Uk Ltd,,,19/12/2024,,9.29
ENVS - Environmental Services,CAC - Parks & Cemeteries,Supply and fit Swing Barrier with lock ,,,1,,CRPOI0006822,Sterling Construction (Services) Ltd,,,19/12/2024,,"1,970.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Erect 20m of post and rail fence ,,,2,,CRPOI0006822,Sterling Construction (Services) Ltd,,,19/12/2024,,710.00
ENVS - Environmental Services,CAE - Waste Services,400 X Dark Grey 240 Ltr Lids ,,,1,,CRPOI0006823,Ese World Limited,,,19/12/2024,,"4,488.00"
ENVS - Environmental Services,CAB - Other Environmental Services,5 X RodentFix BF Brodifacoum 50 Block Bait ,,,1,,CRPOI0006858,Pestfix,,,19/12/2024,,269.28
ENVS - Environmental Services,CAB - Other Environmental Services,36 X  - RODENT BARRIER ,,,1,,CRPOI0006860,Pestfix,,,19/12/2024,,237.60
ENVS - Environmental Services,CAB - Other Environmental Services,1 X BF BRODIFACOUM 50 BLOCK BAIT ,,,2,,CRPOI0006860,Pestfix,,,19/12/2024,,53.86
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0006923,Firesec Compliance Ltd,,,19/12/2024,,546.00
REGN - Regeneration & Housing,FAB - Facilities,Scaitcliffe House - flat roof repair/replacement,,,1,,CRPOI0007061,AJ Developments (NW) LTD,,,19/12/2024,,"38,718.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,"Design, consultation and contract administration services as per returned quote returned 24/10/24",,,1,,CRPOI0007093,Proffitts Investing In Communities,,,19/12/2024,,"4,849.20"
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0007131,Firesec Compliance Ltd,,,19/12/2024,,834.00
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0007138,Firesec Compliance Ltd,,,19/12/2024,,546.00
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0007139,Firesec Compliance Ltd,,,19/12/2024,,334.80
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0007140,Firesec Compliance Ltd,,,19/12/2024,,334.80
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0007141,Firesec Compliance Ltd,,,19/12/2024,,816.00
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0007142,Firesec Compliance Ltd,,,19/12/2024,,144.00
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,2,,CRPOI0007142,Firesec Compliance Ltd,,,19/12/2024,,432.00
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0007157,Firesec Compliance Ltd,,,19/12/2024,,258.00
REGN - Regeneration & Housing,FAB - Facilities,Fire Risk Assessment,,,2,,CRPOI0007157,Firesec Compliance Ltd,,,19/12/2024,,288.00
RESO - Resources,AAD - ICT,Update Security Certificate ,,,1,,CRPOI0007163,Abavus Ltd,,,19/12/2024,,594.00
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0007233,Firesec Compliance Ltd,,,19/12/2024,,334.80
