Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,,Payment Date,,Amount Paid
RESO - Resources,AAF - Finance,November Land Registry Fee,,,101,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,102,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,103,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,104,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,105,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,106,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,107,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,108,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,109,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,110,,CRINV0006725,HM Land Registry,,,05/12/2024,,6.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,111,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,112,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,113,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,114,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,115,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,116,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,117,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,118,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,119,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,120,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,121,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,122,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,123,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,124,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,125,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,126,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,127,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,128,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,129,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,130,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,131,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,132,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,133,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,134,,CRINV0006725,HM Land Registry,,,05/12/2024,,6.00
