,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Willows Lane Depot,Cleaning Of Buildings,BUILDING CLEANING WILLOWS LANE DEC 22,B000024130/50873,Servicemaster,15 August 2023,870.12
Bullough Park Playground,Contractor Other,BULLOUGH PARK WORKS ,B000024183/66329,Groundwork Landscapes Limited,15 August 2023,"5,430.00"
Housing Standards,Agency Staff,STAFF W/C 10.07.23 ,B000024200/58852,Oyster Partnership,15 August 2023,768.60
Housing Standards,Agency Staff,STAFF P/E 16.07.23 ,B000024200/61657,G2 Recruitment Solutions,15 August 2023,"1,982.95"
Environmental Protection,Agency Staff,STAFF P/E 16.07.23 ,B000024200/61860,Vivid Resourcing,15 August 2023,"1,750.00"
Environmental Protection,Agency Staff,STAFF P/E 16.07.23 ,B000024200/61860,Vivid Resourcing,15 August 2023,956.81
Housing Advice,Agency Staff,STAFF P/E 16.07.23  ,B000024200/61860,Vivid Resourcing,15 August 2023,"1,524.96"
Parks & Open Spaces,Asset Maint R&M,FIFE STREET PLAY AREA - REPAIR DAMAGED WALL AND RAILINGS,B000024205/37017,Pilkington Bros (Church) Ltd,15 August 2023,"1,705.13"
Hmo,Agency Staff,AGENCY STAFF - W/C 3.7.23,B000024205/58852,Oyster Partnership,15 August 2023,"1,685.84"
Willows Lane Depot,Asset Maint R&M,WILLOWS LANE - EICR WIRING TEST,B000024205/60330,Calbarrie Compliance Services,15 August 2023,"1,028.60"
Parks & Open Spaces,Asset Maint R&M,OAKHILL PARK - REPAIRS TO TENNIS COURT,B000024205/61433,Jcm Steel Fabrications Ltd,15 August 2023,395.00
Development Control B.U.,Agency Staff,STAFF W/C 10.07.23 ,B000024211/58852,Oyster Partnership,15 August 2023,463.20
Planning Policy B.U.,Agency Staff,STAFF WC 10.07.23,B000024211/58852,Oyster Partnership,15 August 2023,"1,157.00"
Member Services,Printing,BUSINESS CARDS - COUNCILLORS,B000024212/54933,The Small Sign Company,15 August 2023,215.00
Accountancy,Agency Staff,AGENCY STAFF - W/C 10.07.23 ,B000024212/58852,Oyster Partnership,15 August 2023,"3,550.00"
Accountancy,Agency Staff,AGENCY STAFF - W/E 16.07.23,B000024212/61860,Vivid Resourcing,15 August 2023,"2,950.00"
Rhyddings Cafe,Asset Maint R&M,RHYDDINGS PARK SERV BUILDING  EICR 5 YR WIRING TEST,B000024214/60330,Calbarrie Compliance Services,15 August 2023,472.60
Cvmu,Materials-Direct,BUMPER CORNER AND COVER,B000024216/1164,Dennis Eagle Limited,15 August 2023,470.77
Cvmu,Materials-Direct,LIFT AIR BAG,B000024216/66006,Alliance Automotive Uk Lv T/A Jpn Autoparts,15 August 2023,217.44
Pest Control,Baits & Poisons,DOC LURE 300ML,B000024217/2419,Killgerm Chemicals Ltd,15 August 2023,49.95
Pest Control,Baits & Poisons,SAKARAT BROMABAIT 10KG,B000024217/2419,Killgerm Chemicals Ltd,15 August 2023,189.00
Street Cleansing,Implements & Tools,"24 POWERPICK LITTER PICKER 33""",B000024217/36319,Landscape Supply Company,15 August 2023,477.60
Gang Mower F12213,Aquisition Of Vehicles,TOOL BAG WITH TOOLS ,B000024217/68624,Richard Campey Limited,15 August 2023,85.00
Gang Mower F12213,Aquisition Of Vehicles,TRIMAX PEGASUS 493 S5 MOWER C/W REMOTE UNLOCK,B000024217/68624,Richard Campey Limited,15 August 2023,"33,250.00"
Tipping Charges,Hired Vehicle,EMPTY WASTE BAYS W/L,B000024218/9294,Stanley Brothers (Tippers) Ltd,15 August 2023,540.00
Accountancy,Agency Staff,AGENCY COSTS-  W/C 17/07/23,B000024219/58852,Oyster Partnership,15 August 2023,"3,550.00"
Building Control B.U.,Agency Staff,AGENCY STAFF- W/C 17/07/23 ,B000024219/58852,Oyster Partnership,15 August 2023,945.00
Development Control B.U.,Agency Staff,AGENCY COSTS-  W/C 17/07/23,B000024219/58852,Oyster Partnership,15 August 2023,463.20
Planning Policy B.U.,Agency Staff,AGENCY FEES- W/C 17/07/23 ,B000024219/58852,Oyster Partnership,15 August 2023,"1,379.50"
Accrington Crematorium,Asset Maint R&M,ACC CEM OFFICE AND ACC CREMATORIUM- PPM EMERGENCY LIGHTING TEST,B000024220/53957,Lantei Limited,15 August 2023,196.55
Haworth Art Gallery,Asset Maint R&M,"HAG- PPM EMERGENCY LIGHTING TEST, INSPECTION AND SURVEY",B000024220/53957,Lantei Limited,15 August 2023,336.55
Haworth Art Gallery,Asset Maint R&M,HAWORTH STABLES- PPM EMERGENCY LIGHTING TEST,B000024220/53957,Lantei Limited,15 August 2023,336.70
Hyndburn Cemeteries,Asset Maint R&M,ACC CEM OFFICE AND ACC CREM- PPM EMERGENCY LIGHTING TEST,B000024220/53957,Lantei Limited,15 August 2023,140.00
Accountancy,Advertising,JOB LISTING IN PUBLIC FINANCE,B000024222/62354,Redactive Publishing Ltd,15 August 2023,952.00
