,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Public Transport,Cleaning,CLEANING BUS SHELTERS MAY/JUNE 2023,B000024107/27106,Atkinson Cleaning Services Limited,13 Jun 2023,"1,215.00"
General Investigation,Work Done Dlo-Highways,WORK AT WILSON PLAYING FIELDS,B000024107/28458,Marchbridge Builders Ltd,13 Jun 2023,721.00
General Maintenance,Work Done Dlo-Highways,TOPOGRAPHICAL SURVEY - HAWORTH PARK,B000024107/44721,Site Surveying Services,13 Jun 2023,750.00
Hlc Leisure Inv Prog,Fees-Analysts & Consultants,LEISURE TRANSFORMATION HLC - ALLIANCE STAGE 4 VAL 4,B000024107/48468,Alliance Leisure Services Limited,13 Jun 2023,"22,364.80"
Wpf Leisure Inv Prog,Fees-Analysts & Consultants,LEISURE TRANSFORMATION WPF - ALLIANCE STAGE 4 VAL 4 CATERING,B000024107/48468,Alliance Leisure Services Limited,13 Jun 2023,"8,605.83"
Development Control B.U.,Agency Staff,AGENCY STAFF-  W/E 28/5/23 - 4/6/23,B000024107/67448,Macdonald & Company,13 Jun 2023,"2,630.83"
Planning Policy B.U.,Agency Staff,AGENCY STAFF -  W/E 28/5/23 - 4/6/23,B000024107/67448,Macdonald & Company,13 Jun 2023,"2,847.00"
Ukspf - Regeneration,Private Contractors Work,UK SPF GRANT PAYMENT,B000024108/29112,Hyndburn Leisure,13 Jun 2023,"69,440.00"
Homes For Ukraine-Thankyou Pay,Misc Expenses Other,REFUGEE WEEK EVENT,B000024108/40896,Aawaz,13 Jun 2023,500.00
Finance Lease Interest,Interest,LEASE FEES,B000024108/58330,Jcb Finance,13 Jun 2023,479.58
General Fund B/S,Finance Lease,LEASE FEES,B000024108/58330,Jcb Finance,13 Jun 2023,"4,909.69"
Registration Of Electors,Document Management,WEEKLY PRINT RUN,B000024108/62168,Civica Election Services,13 Jun 2023,358.63
Affordable Warmth Grant,Cap Contns,AFFORDABLE WARMTH GRANT,B000024108/62221,Rhea Projects,13 Jun 2023,"2,068.50"
Affordable Warmth Grant,Cap Contns,AFFORDABLE WARMTH GRANT,B000024108/62221,Rhea Projects,13 Jun 2023,"2,415.00"
Affordable Warmth Grant,Cap Contns,AFFORDABLE WARMTH GRANT,B000024108/62221,Rhea Projects,13 Jun 2023,"2,467.50"
Accountancy,Agency Staff,AGENCY STAFF  - W/E 04/06/23,B000024108/63907,Butler Rose,13 Jun 2023,574.20
Accountancy,Agency Staff,AGENCY STAFF - W/E 28/05/2023,B000024108/63907,Butler Rose,13 Jun 2023,562.24
Haworth Art Gallery,Equipment-Resale,GOODS FOR RESALE IN SHOP,B000024108/68537,Hachette Uk Distribution Ltd,13 Jun 2023,485.36
Homes For Ukraine-Thankyou Pay,Misc Expenses Other,REFUGEE WEEK EVENT,B000024108/68593,Moon And Stars Events,13 Jun 2023,440.00
Corporate Property,Water Charges,HIPPINGS VALE COMMUNITY CENTRE,B000024108/8325,Water Plus Ltd,13 Jun 2023,339.43
Scaitcliffe House,Water Charges,WATER - SCAITCLIFFE MAY 2023,B000024108/8325,Water Plus Ltd,13 Jun 2023,924.52
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024109/59806,Greenwood Plumbers,13 Jun 2023,"3,250.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024109/61963,Smart Building Solutions Blackburn Ltd,13 Jun 2023,"10,000.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024109/7874,Stannah Lift Services Limited,13 Jun 2023,"5,743.00"
Homes For Ukraine-Thankyou Pay,Misc Expenses Other,HOMES FOR UKRAINE SCHEME,B000024110/12122,Maundy Relief,13 Jun 2023,"2,967.00"
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024110/67374,The Fireplace Warehouse (Burnley) Limited,13 Jun 2023,"1,377.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024110/67621,Buildeasi Nw Ltd,13 Jun 2023,"15,557.79"
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024110/68216,Scl Building Services Limited,13 Jun 2023,485.26
Homes For Ukraine-Thankyou Pay,Misc Expenses Other,REFUGEE WEEK EVENT,B000024082/61241,B H Audio,15 Jun 2023,843.00
Cvmu,General Subscriptions,FREIGHT UK SUBSCRIPTION,B000024091/1547,Freight Transport Assoc,15 Jun 2023,900.00
Cvmu,Materials-Direct,AIRBAGS,B000024091/66006,Alliance Automotive Uk Lv T/A Jpn Autoparts,15 Jun 2023,216.66
Cvmu,Materials-Direct,FLOAT,B000024091/7688,Aebi Schmidt Uk Ltd,15 Jun 2023,283.50
Tech. Refresh (Annual Replacem,Equipment,1 YEAR RTB WARRANTY,B000024093/68561,Rapid I T Recycling Ltd,15 Jun 2023,0.00
