Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
RESO - Resources,AAF - Finance,August Land Registry Fee,148,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,149,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,150,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,151,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,152,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,153,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,154,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,155,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,156,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,157,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,158,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,159,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,160,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,161,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,162,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,163,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,164,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,165,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,166,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,167,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,168,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,169,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,170,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,171,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,172,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,173,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,174,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,175,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,176,CRINV0004712,HM Land Registry,05/09/2024,6.00
RESO - Resources,AAF - Finance,August Land Registry Fee,177,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,178,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,179,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,180,CRINV0004712,HM Land Registry,05/09/2024,6.00
RESO - Resources,AAF - Finance,August Land Registry Fee,181,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,182,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,183,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,184,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,185,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,186,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,187,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,188,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,189,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,190,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,191,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,192,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,193,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,194,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,195,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,196,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,197,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,198,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,199,CRINV0004712,HM Land Registry,05/09/2024,6.00
RESO - Resources,AAF - Finance,August Land Registry Fee,200,CRINV0004712,HM Land Registry,05/09/2024,6.00
RESO - Resources,AAF - Finance,August Land Registry Fee,201,CRINV0004712,HM Land Registry,05/09/2024,6.00
RESO - Resources,AAF - Finance,August Land Registry Fee,202,CRINV0004712,HM Land Registry,05/09/2024,6.00
RESO - Resources,AAF - Finance,August Land Registry Fee,203,CRINV0004712,HM Land Registry,05/09/2024,6.00
RESO - Resources,AAF - Finance,August Land Registry Fee,204,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,205,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,206,CRINV0004712,HM Land Registry,05/09/2024,6.00
RESO - Resources,AAF - Finance,August Land Registry Fee,207,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,208,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,209,CRINV0004712,HM Land Registry,05/09/2024,3.00
RESO - Resources,AAF - Finance,August Land Registry Fee,210,CRINV0004712,HM Land Registry,05/09/2024,3.00
ENVS - Environmental Services,CAF - CVMU,L2 award in MOT Testing,1,CRINV0004714,Blackburn College,05/09/2024,850.00
ENVS - Environmental Services,CAF - CVMU,Charges - 27.06.24 - 26.07.24,1,CRINV0004717,Water Plus - 4206400451 CVMU,05/09/2024,419.47
ENVS - Environmental Services,CAD - Town Centre & Markets,Printing,1,CRINV0004755,Media Village,05/09/2024,331.20
ENVS - Environmental Services,CAC - Parks & Cemeteries,Water Woodlands Sports Pav  03.06.24 - 02.07.24,1,CRINV0004760,Water Plus - 4081821747 Woodlands Sports Pavillion,05/09/2024,340.56
ENVS - Environmental Services,CAC - Parks & Cemeteries,Water Woodland Sports 03.07.24 - 02.08.24,1,CRINV0004765,Water Plus - 4081821747 Woodlands Sports Pavillion,05/09/2024,354.60
RESO - Resources,AAF - Finance,Additional Account Fees,1,CRINV0004777,Allpay Ltd,05/09/2024,"1,407.94"
REGN - Regeneration & Housing,FAB - Facilities,To supply and fit blinds,1,CRINV0004778,Real Pendle Blinds Ltd,05/09/2024,865.30
REGN - Regeneration & Housing,FAA - Economic Development,Conference and Marketing,1,CRINV0004787,Love Local Solutions Limited,05/09/2024,660.00
ENVS - Environmental Services,CAD - Town Centre & Markets,"Carpet Removal, purchase and installation of new carpet ",1,CRINV0004825,Mobile Carpets Lancashire LTD,05/09/2024,"1,580.00"
ENVS - Environmental Services,CAD - Town Centre & Markets,2024 Full Band 2 Membership,1,CRPOI0004761,Association Of Town Centre Management,05/09/2024,948.00
LEGL - Legal & Democratic,DAB - Human Resources,ATS 4 Panel-printed Umbrellas x 50,1,CRPOI0004788,Media Village,05/09/2024,"2,100.00"
ENVS - Environmental Services,CAF - CVMU,Steering rack,1,CRINV0003723,A&P Truck And Trailer Parts,10/09/2024,558.00
ENVH - Environmental Health,BAA - Housing Standards,w/e 11/08/24,1,CRINV0004359,G2 Recruitment Solutions,10/09/2024,"2,387.64"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 29.07.24,1,CRINV0004370,Oyster Partnership,10/09/2024,"1,271.09"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 05.08.24,1,CRINV0004371,Oyster Partnership,10/09/2024,"2,270.11"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/c 05.08.24 ,1,CRINV0004380,Oyster Partnership,10/09/2024,"1,909.73"
ENVH - Environmental Health,BAB - Environmental Protection,Temp Staff W/E 11.8.24,1,CRINV0004436,Vivid Resourcing,10/09/2024,"2,160.00"
REGN - Regeneration & Housing,FAB - Facilities,Toilet door & casing,1,CRINV0004441,Pilkington Bros (Church) Ltd,10/09/2024,"1,219.67"
REGN - Regeneration & Housing,FAB - Facilities,Faulty Water Heater,1,CRINV0004442,Pilkington Bros (Church) Ltd,10/09/2024,737.11
REGN - Regeneration & Housing,FAB - Facilities,Replace broken wc bowl,1,CRINV0004443,Pilkington Bros (Church) Ltd,10/09/2024,983.09
REGN - Regeneration & Housing,FAB - Facilities,External tap dripping,1,CRINV0004444,Pilkington Bros (Church) Ltd,10/09/2024,289.96
REGN - Regeneration & Housing,FAB - Facilities,Refix road bollard,1,CRINV0004445,Pilkington Bros (Church) Ltd,10/09/2024,297.72
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp Staff w/e 11/08/24,1,CRINV0004526,Proman Supply Chain Ltd,10/09/2024,"1,249.46"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp Staff w/e 11/08/24,1,CRINV0004527,Proman Supply Chain Ltd,10/09/2024,"2,161.08"
ENVS - Environmental Services,CAF - CVMU,Vehicle Parts CVMU,1,CRINV0004542,Wasteparts Uk Ltd,10/09/2024,401.09
ENVS - Environmental Services,CAF - CVMU,Vehicle Parts CVMU,1,CRINV0004545,Wasteparts Uk Ltd,10/09/2024,763.42
ENVS - Environmental Services,CAF - CVMU,Vehicle Parts CVMU,1,CRINV0004547,Calibration & Consultancy Services Uk Limited,10/09/2024,480.60
LEGL - Legal & Democratic,DAC - Legal,Annual Subscriptions - 01.08.24 - 31.07.25,1,CRINV0004570,Thomson Reuters Professional Uk Ltd,10/09/2024,"18,552.84"
REGN - Regeneration & Housing,FAB - Facilities,Air Con unit leaking,1,CRINV0004620,Affordable Bar & Catering Equipment Direct,10/09/2024,300.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp Staff w/c 12.08.24   ,1,CRINV0004630,Proman Supply Chain Ltd,10/09/2024,915.31
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp Staff w/c 12.08.24 ,1,CRINV0004631,Proman Supply Chain Ltd,10/09/2024,"2,414.30"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 07.07.24,1,CRINV0004636,Carrington West Limited,10/09/2024,"1,568.26"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 14.07.24 ,1,CRINV0004640,Carrington West Limited,10/09/2024,"1,568.26"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 25.08.24 ,1,CRINV0004645,Macdonald & Company,10/09/2024,666.25
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 25.08.24,2,CRINV0004645,Macdonald & Company,10/09/2024,666.25
ENVS - Environmental Services,CAC - Parks & Cemeteries,CCTV Hire - 27.7.24 to 30.8.24,1,CRINV0004736,Ross Lee Construction Ltd,10/09/2024,"1,320.00"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 01.09.24 - S Chen,1,CRINV0004775,Macdonald & Company,10/09/2024,"1,184.90"
RESO - Resources,AAB - Benefits & Customer Contact,Agency staff - w/e 11.08.24 - S McArdle,1,CRINV0004811,Eden Brown Limited,10/09/2024,"1,212.12"
PLAN - Planning & Transportation,EAA - Building Control,Agency staff - w/e 30.08.24 ,1,CRINV0004816,Deekay Tech Recruitment Ltd,10/09/2024,"1,363.50"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Charges - 03.02.24 - 02.03.24,1,CRINV0004851,Water Plus - 4081821747 Woodlands Sports Pavillion,10/09/2024,"2,238.99"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Charges - 03.03.24 - 02.04.24,1,CRINV0004852,Water Plus - 4081821747 Woodlands Sports Pavillion,10/09/2024,326.20
ENVS - Environmental Services,CAC - Parks & Cemeteries,36 months charges,1,CRINV0004854,Inseego UK Ltd,10/09/2024,288.00
