Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
ENVS - Environmental Services,CAC - Parks & Cemeteries,HS 82RC-E 24`` Petrol hedge trimmer,4,CRPOI0004729,Dick Leigh LLP,17/09/2024,517.68
ENVS - Environmental Services,CAC - Parks & Cemeteries,HLA 135 Long reach hedge cutter,5,CRPOI0004729,Dick Leigh LLP,17/09/2024,477.24
ENVS - Environmental Services,CAC - Parks & Cemeteries,"Rear Abbey Street, Accrington
Prune back all the trees from the rear of the properties along the rear Abbey Street 1.5m max.
Crown raise 5m over the cobbled back to allow bin wagons to pass and 5m over the car parking area as necessary.
Prune back tree",1,CRPOI0004781,Northern Forestry & Arb,17/09/2024,"1,920.00"
RESO - Resources,AAB - Benefits & Customer Contact,Change of Address Form Upgrade,1,CRPOI0004868,Capita One Limited,17/09/2024,"4,800.00"
RESO - Resources,AAF - Finance,20 Receipt Books ,1,CRPOI0004897,Nottingham Label Company Limited,17/09/2024,267.60
ENVS - Environmental Services,CAC - Parks & Cemeteries,Provide line markings to play area as per quote,1,CRPOI0004951,Designs And Lines,17/09/2024,"2,292.00"
RESO - Resources,AAD - ICT,1 x TeamViewer Corporate:3 concurrent connections,1,CRPOI0005017,Team Viewer Gmbh,17/09/2024,"1,924.67"
RESO - Resources,AAB - Benefits & Customer Contact,Online Benefits/Revenues Training,1,CRPOI0005039,IRRV,17/09/2024,"2,160.00"
PLAN - Planning & Transportation,EAB - Engineers & Transportation,Installation of street nameplates,1,CRINV0004581,Marchbridge Builders Ltd,19/09/2024,"2,448.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Provision of Legal Services,1,CRINV0004670,Womble Bond Dickinson (Uk) LLP,19/09/2024,"1,034.40"
RESO - Resources,AAB - Benefits & Customer Contact,Direct Debit,1,CRINV0004921,HM Courts & Tribunals Service,19/09/2024,470.50
RESO - Resources,AAF - Finance,Charges - August 24,1,CRINV0005043,Lloyds Bank Cardnet,19/09/2024,"2,356.31"
REGN - Regeneration & Housing,FAB - Facilities,CVMU Hyndburn BC - PPM Annual Service RSD,1,CRINV0005044,Roller Shutter Services Ltd,19/09/2024,"1,032.00"
REGN - Regeneration & Housing,FAB - Facilities,King Georges Hyndburn BC - PPM Annual Service RSD,2,CRINV0005044,Roller Shutter Services Ltd,19/09/2024,302.40
REGN - Regeneration & Housing,FAB - Facilities,Oakhill Service Building - Hyndburn BC - PPM Annual Service RSD,3,CRINV0005044,Roller Shutter Services Ltd,19/09/2024,151.20
REGN - Regeneration & Housing,FAB - Facilities,Oakhill Bandstand Hyndburn BC - PPM Annual Service RSD,4,CRINV0005044,Roller Shutter Services Ltd,19/09/2024,86.40
REGN - Regeneration & Housing,FAB - Facilities,Wilsons Pavilion Hyndburn BC - PPM Annual Service RSD,5,CRINV0005044,Roller Shutter Services Ltd,19/09/2024,172.80
LEGL - Legal & Democratic,DAB - Human Resources,CAY Recharge - Sept 24,1,CRINV0005094,Lancashire County Council (Direct Debit Payments),19/09/2024,"44,763.16"
ENVS - Environmental Services,CAE - Waste Services,6 X Roadworks Ahead c/w Road Sweeping Roll Up Sign size 750mm,1,CRPOI0005036,Manchester Safety Services Ltd,19/09/2024,546.84
RESO - Resources,AAF - Finance,"65x Staff badges 
PO shall be quoted each time we order a new/replacement staff card.",1,CRPOI0005052,Auto Time Systems Northern,19/09/2024,"1,240.20"
ENVS - Environmental Services,CAE - Waste Services,Temp Staff. w/e  18.08.24.  ,1,CRINV0004627,Rapid Recruitment Ltd,24/09/2024,"1,977.22"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/c 19.08.24,1,CRINV0004647,Oyster Partnership,24/09/2024,"2,417.26"
ENVH - Environmental Health,BAB - Environmental Protection,Agency staff - w/e 18.08.24,1,CRINV0004662,Vivid Resourcing,24/09/2024,"2,220.00"
ENVH - Environmental Health,BAB - Environmental Protection,Agency staff - w/e 25.08.24 ,2,CRINV0004662,Vivid Resourcing,24/09/2024,"2,220.00"
PLAN - Planning & Transportation,EAC - Green Infrastructure,50% Contribution to Access Audit at Foxhill Bank by Access Rating,1,CRINV0004682,Lancashire Wildlife Trust,24/09/2024,422.50
RESO - Resources,AAD - ICT,Toner cartridges,1,CRINV0004686,Document Logic,24/09/2024,319.90
REGN - Regeneration & Housing,FAB - Facilities,Oakhill - September 24,1,CRINV0004693,ServiceMaster Clean Contract Services AAA,24/09/2024,368.52
REGN - Regeneration & Housing,FAB - Facilities,Testing lift - 3.6.24,1,CRINV0004703,H Breakell & Co (Blackburn) Limited,24/09/2024,756.00
REGN - Regeneration & Housing,FAB - Facilities,Lift testing - Osw Civic Theatre - 11.06.24,1,CRINV0004705,H Breakell & Co (Blackburn) Limited,24/09/2024,441.00
REGN - Regeneration & Housing,FAB - Facilities,Civic Arts Centre - Lift out of service - 25.06.24,1,CRINV0004707,H Breakell & Co (Blackburn) Limited,24/09/2024,336.00
LEGL - Legal & Democratic,DAG - Elections,Printing and Envelopes,1,CRINV0004719,Civica Election Services,24/09/2024,323.83
ENVS - Environmental Services,CAF - CVMU,Parts,1,CRINV0004720,Dennis Eagle Limited,24/09/2024,"2,456.54"
ENVS - Environmental Services,CAF - CVMU,Parts,1,CRINV0004721,Dennis Eagle Limited,24/09/2024,"1,021.50"
PLAN - Planning & Transportation,EAC - Green Infrastructure,Printing,1,CRINV0004722,Ellison Printing Co.,24/09/2024,478.80
ENVS - Environmental Services,CAC - Parks & Cemeteries,Cleaning - September 24,1,CRINV0004743,ServiceMaster Clean Contract Services AAA,24/09/2024,725.57
